Questions,Category
"Can NS-3 simulator be used to simulate Fat tree,BCube,porland ?",Analysis
What are the simulators available for quantum key distribution?,Knowledge
Explain the Different layers of the OSI model.,Comprehension
How do you implement routing protocol for veins (omnet++)?,Analysis
What is the best tool/way for fast parsing of ~80 GB pcap.gz files?,Knowledge
Difference between bit rate and baud rate.,Comprehension
What is usage of Sequence Number in Reliable Transmission?,Knowledge
Define Network?,Knowledge
Name the factors that affect the performance of the network?,Knowledge
"Define the terms Unicasting, Multiccasting and Broadcasting",Knowledge
Describe at one disadvantage of a peer to peer network.,Comprehension
How can you manage a network using a router?,Application
One way of securing a network is through the use of passwords. What can be considered as good passwords?,Analysis
What happens when you use cables longer than the prescribed length?,Knowledge
You need to connect two computers for file sharing. Is it possible to do this without using a hub or router?,Evaluation
"When you move the NIC cards from one PC to another PC, does the MAC address gets transferred as well?",Analysis
How are IP addresses arranged and displayed?,Knowledge
"When troubleshooting computer network problems, what common hardware-related
 problems can occur?",Analysis
How does dynamic host configuration protocol aid in network administration?,Application
Explain profile in terms of networking concept?,Comprehension
How do bridges pass spanning tree information between themselves?,Application
Describe a recent short term stressful situation and how you managed it.,Comprehension
Describe what a VPN is and how it works.,Comprehension
What do you use to write documentation? Editor? Mail reader?,Knowledge
How do you manage multiple concurrent high level projects?,Analysis
"Have you worked in an assignment based environment, e.g. work request/trouble ticket system,
 and if so, describe that environment.",Analysis
"I can?t seem to access the Internet, don?t have any access to the corporate network and on ipconfig my address is 169.254.*.*. What happened?",Analysis
"We?ve installed a new Windows-based DHCP server, however, the users do not seem to be getting DHCP leases off of it. Comment.",Evaluation
How do cryptography-based keys ensure the validity of data transferred across the network?,Analysis
Should we deploy IPSEC-based security or certificate-based security?,Evaluation
"You need to retrieve a file from the file server for your word processing application, which layer of the OSI model is responsible for this function?",Application
Which memory component on a Cisco router contains the dynamic system configuration?,Knowledge
Which combination of keys will allow you to view the previous commands that you typed at the router?,Knowledge
Is the address bus unidirectional?,Analysis
Compare Error Detection and Error Correction:,Comprehension
How do you go to privileged mode? How do you switch back to user mode?,Knowledge
Brielfly explain the conversion steps in data encapsulation.,Comprehension
How have you gained commitment from your team?,Analysis
What are some basic ways to speed up network performance?,Knowledge
Can you work as a team?,Analysis
"Tell me, you can ping servers on the subnet your workstation is on, but not other subnets. What is wrong?",Analysis
"Explain how to find real IP address of the client that is connecting with a server, if the client is using Proxy",Application
Can we communicate by using only the MAC address in Same network?,Analysis
Suppose user calls in and complains that her computer and network is running very slow. How would you go about troubleshooting it?,Application
Can a machine with a single DNS name have multiple IP addresses? If yes then how could this occur?,Evaluation
What is the difference between simplex and duplex?,Comprehension
What is Active Directory in Computer Networks?,Knowledge
Explain in detail about the working of SWITCH in Networking?,Comprehension
Suppose If you are given the IP address can u tell how many computers can be connected?What do you look at?,Analysis
What is Beaconing in Computer Networks?,Knowledge
What is the function of Transmission Control Block?,Knowledge
what is the difference between interior and exterior neighbor gateways?,Comprehension
What advantage does REX offer other similar utilities?,Knowledge
Suppose you are given only the IP address of the switch but not the port number. How will you read that switch?,Application
There are four routers and 4 switches and 40 computers in an office. How will you connect each devices and configure those devices?,Application
Explain benefits of VPN? Difference between L2TP and PPTP Protocols?,Comprehension
How to configure two DHCP Servers using 2 swithces with 1 DSL. Keep in mind we cannot use any other additional equipment?,Application
Windows crashed because NTLDR File is missing. How will you restore this file (Without using Safe Mode Option)?,Application
difference between TCP/IP host name and netBIOS host name,Comprehension
"When you move the NIC cards from one PC to another PC, does the MAC address gets transferred as well?",Analysis
"Dial-up modems, HFC, DSL and FTTH are all used for residential access.comment on whether the transmission rate for each is shared or dedicated.",Evaluation
Describe the most popular wireless Internet access technologies today. Compare and contrast them.,Comprehension
Consider sending a packet from a source host to a destination host over afixed route. List the delay components in the end-to-end delay.,Analysis
